review_id,actual_stars,predicted_stars,explanation,valid_json,response_time
0,1,1,"The review is overwhelmingly negative. It details poor parking, unappealing ambiance, inattentive and snobby service, extremely long wait times for food, a broken light, and ultimately, unappetizing food that caused discomfort. The reviewer explicitly recommends against visiting the restaurant.",True,2.6373260021209717
1,1,1,"The review expresses strong negativity regarding the service and the quality of the sushi, especially considering the high prices. The reviewer emphasizes the waitress's inattentiveness and the poor quality of the California roll. The initial intention to support the restaurant based on principle is completely overshadowed by the extremely poor experience, leading to a one-star rating.",True,2.2786662578582764
2,1,1,"The review is overwhelmingly negative, focusing on the extremely small size of the wings ('SMALLEST wings I have ever seen,' 'baby chicks,' 'punked'). While acknowledging some positive aspect of flavor, the overall experience was so bad the reviewer states 'Never to be back,' clearly indicating a 1-star experience.",True,1.93196702003479
3,1,1,"The review expresses extreme negativity due to unhelpful staff, poor store layout, out-of-stock items, and a dismissive customer service experience. The customer explicitly states their anger and intention to never return, indicating a very poor experience.",True,1.3486206531524658
4,1,1,"The review is overwhelmingly negative. The reviewer expresses frustration with the poor service, being denied dinner after being ready to order, and having this be a recurring issue. The intensity of the negative emotions is high. They also mention an inadequate tip for the bartender, highlighting their dissatisfaction.",True,1.8297531604766846
5,1,1,"The review is overwhelmingly negative, focusing on poor service, disappointing food quality, and a negative overall experience. The reviewer explicitly states they will not return and will not recommend the restaurant.",True,1.9275290966033936
6,1,1,"The review expresses strong disappointment due to multiple issues: unclean environment (lobby, salsa bar, drink station) and poor food quality (old guacamole, limp lettuce). The negative sentiment is overwhelming.",True,1.354119062423706
7,1,2,"The review is largely negative. While acknowledging Forever 21 wasn't directly responsible for the theft, the reviewer criticizes the staff's indifference and the store's disorganization. The store was a mess, understaffed, and employees were socializing instead of helping customers. The theft incident compounded the negative experience.",True,1.6388704776763916
8,1,2,"The review is primarily negative. While the reviewer didn't get sick at the deli and liked the fries, they found the sandwich overpriced, not huge as advertised, flavorless, and disliked the coleslaw. The cost for two sandwiches and sodas was considered excessive. The only real positive is the fries, but the overall tone and specific complaints point to a negative experience.",True,1.6866405010223389
9,1,1,"The review is overwhelmingly negative. The reviewer expresses extreme frustration with the waitress's rude behavior, feeling rushed, and issues with the bill. While they acknowledge liking the atmosphere, the negative experience completely overshadowed it.",True,20.065956354141235
10,2,2,"The review is largely negative, citing issues with staff disorganization, incorrect apartment assignment, unexpected water billing, and frequent appliance breakdowns. While the reviewer acknowledges that worse apartments exist, the numerous problems outweigh the positive aspects (clean grounds), resulting in a low rating.",True,1.9115822315216064
11,2,2,"The review is mostly negative. While the service was good and patient, the table arrangement was disliked, and the gyro was the worst the reviewer had ever experienced. The good saganaki wasn't enough to offset the negative aspects, leading to a low rating.",True,1.9182467460632324
